condition_id,experiment,group,topic_index,run_index,lyra_gap,cipher_gap,lyra_own,cipher_own,coherence_mean,topic_drift_mean,drift_slope,sentiment_mean,sentiment_slope,sentiment_vol,lyra_sem_div,cipher_sem_div,lyra_ttr,cipher_ttr,global_ttr
modiso__gpt-oss-120b__t07__r03,modiso,gpt-oss-120b,7,3,0.0253,0.4074,0.5127,0.7037,0.5441912792623043,0.414697634854487,-0.008751677973316857,0.3658666666666667,0.01920441558441558,0.41267443565269446,0.6493130326271057,0.528835654258728,0.5804878048780487,0.5263157894736842,0.46207497820401044
modiso__gpt-oss-20b__t00__r01,modiso,gpt-oss-20b,0,1,-0.0291,0.2541,0.4854,0.6271,0.5241746474057436,0.38878862737190156,-0.018349979759810814,0.3217380952380952,0.001549870129870129,0.5585119357348387,0.7086949348449707,0.5976048707962036,0.5377358490566038,0.49230769230769234,0.41076233183856503
modiso__gpt-oss-20b__t00__r02,modiso,gpt-oss-20b,0,2,0.0006,0.2266,0.5003,0.6133,0.5329611977562309,0.3547315824599493,-0.022543300823731856,0.2689809523809524,0.009015454545454538,0.5511605190254707,0.712752103805542,0.5947668552398682,0.5235772357723577,0.4849557522123894,0.4076271186440678
modiso__gpt-oss-20b__t00__r03,modiso,gpt-oss-20b,0,3,-0.0955,0.4265,0.4522,0.7133,0.5636098027229309,0.4939204624720982,-0.01971330708497532,0.4370904761904762,-0.005351688311688311,0.3805616800076559,0.6058246493339539,0.5280142426490784,0.5520661157024793,0.5207100591715976,0.43435251798561153
modiso__gpt-oss-20b__t01__r01,modiso,gpt-oss-20b,1,1,0.1899,0.1791,0.5949,0.5896,0.4983123354613781,0.3106361638222422,-0.025170917963826818,0.22046190476190475,0.046069350649350645,0.5814587398670695,0.7083206176757812,0.7190389037132263,0.5186440677966102,0.4430147058823529,0.3888888888888889
modiso__gpt-oss-20b__t01__r02,modiso,gpt-oss-20b,1,2,0.0421,0.16,0.521,0.58,0.5193283632397652,0.2518449779599905,-0.027381992011101218,0.2724238095238095,0.037036233766233766,0.5123896182219914,0.714077889919281,0.7126123309135437,0.48773006134969327,0.4666666666666667,0.37865748709122204
modiso__gpt-oss-20b__t01__r03,modiso,gpt-oss-20b,1,3,0.092,0.2774,0.546,0.6387,0.5204724188894033,0.2780996895883055,-0.022723637527314492,0.33701428571428566,0.013202077922077927,0.5385377170199515,0.6221755146980286,0.6990086436271667,0.512539184952978,0.4689922480620155,0.39428076256499134
modiso__gpt-oss-20b__t02__r01,modiso,gpt-oss-20b,2,1,-0.1255,0.3176,0.4372,0.6588,0.5488503257744014,0.36502774875788463,-0.021560137080294754,0.5409952380952381,-0.01580571428571428,0.43013161825764834,0.6471298933029175,0.6288681626319885,0.5403087478559176,0.4869109947643979,0.40570934256055363
modiso__gpt-oss-20b__t02__r02,modiso,gpt-oss-20b,2,2,-0.0936,0.3691,0.4532,0.6845,0.5580363476648926,0.41028194439907867,-0.014425492291520167,0.4175238095238096,0.007508441558441548,0.3954075388938088,0.5859823226928711,0.5351701378822327,0.5442622950819672,0.4755134281200632,0.40788415124698313
modiso__gpt-oss-20b__t02__r03,modiso,gpt-oss-20b,2,3,-0.0202,0.2847,0.4899,0.6424,0.4882918268442154,0.3308882762988408,-0.020793318845234908,0.4727190476190476,0.010223636363636365,0.43329240937055497,0.7181451916694641,0.6082136034965515,0.5369532428355958,0.49746192893401014,0.40749601275917063
