condition_id,experiment,group,topic_index,run_index,lyra_gap,cipher_gap,lyra_own,cipher_own,coherence_mean,topic_drift_mean,drift_slope,sentiment_mean,sentiment_slope,sentiment_vol,lyra_sem_div,cipher_sem_div,lyra_ttr,cipher_ttr,global_ttr
periso__baseline__t04__r01,periso,baseline,4,1,-0.1152,0.6346,0.4424,0.8173,0.7662570685148239,0.7019912259919303,-0.002034329129503916,0.723847619047619,0.0006236363636363724,0.30086731392686905,0.28268298506736755,0.3343232572078705,0.39169909208819714,0.48032786885245904,0.32440260680666183
periso__baseline__t04__r02,periso,baseline,4,2,-0.1423,0.5662,0.4288,0.7831,0.707651162147522,0.6163691835744041,-0.005299424738078925,0.7503666666666666,0.00326597402597402,0.26659379718668,0.4550408720970154,0.38709673285484314,0.4577181208053691,0.426179604261796,0.33238231098430815
periso__baseline__t04__r03,periso,baseline,4,3,-0.0995,0.614,0.4502,0.807,0.7011971950531006,0.6461081703503927,-0.0040707609870217,0.568147619047619,0.0370151948051948,0.5406106499832235,0.35412275791168213,0.47887107729911804,0.4269938650306748,0.4601910828025478,0.3333333333333333
periso__baseline__t05__r01,periso,baseline,5,1,-0.0048,0.4801,0.4976,0.7401,0.7181856900453567,0.5858692292656217,-0.0013468415899710407,0.6851142857142858,0.04033948051948051,0.4177285531079156,0.30646905303001404,0.46608877182006836,0.4,0.45076923076923076,0.3210144927536232
periso__baseline__t05__r02,periso,baseline,5,2,-0.0918,0.6075,0.4541,0.8037,0.643958167731762,0.5642669789847874,0.005207803032614959,0.5137619047619046,0.015452337662337655,0.4526128362089764,0.43562570214271545,0.5487765669822693,0.4650856389986825,0.5148148148148148,0.38183217859892227
periso__baseline__t05__r03,periso,baseline,5,3,0.0102,0.4796,0.5051,0.7398,0.7829071700572967,0.6253200428826469,-0.008397403243300199,0.6466142857142858,0.012851948051948038,0.3441272816653666,0.3093525767326355,0.34083229303359985,0.43517329910141206,0.46083788706739526,0.3328313253012048
periso__baseline__t06__r01,periso,baseline,6,1,-0.0211,0.41,0.4894,0.705,0.6703060984611511,0.603641281525294,-0.01331080213769691,0.8002619047619047,0.013514415584415577,0.19333845841201325,0.4239320158958435,0.5028876066207886,0.42820838627700125,0.45805369127516776,0.3304410701373825
periso__baseline__t06__r02,periso,baseline,6,2,0.004,0.4767,0.502,0.7384,0.6849061839282513,0.5572280848310107,-0.030731814248221252,0.729347619047619,0.017821428571428575,0.25860974573586576,0.47219040989875793,0.5574652552604675,0.4387397899649942,0.4647887323943662,0.3482620320855615
periso__baseline__t06__r03,periso,baseline,6,3,0.0233,0.4737,0.5116,0.7369,0.650350171327591,0.48037861855257125,-0.01352899128740484,0.7244571428571429,0.02404558441558442,0.2858470496302401,0.5374233722686768,0.6441351175308228,0.43278301886792453,0.4279346210995542,0.31821170282708744
periso__baseline__t07__r01,periso,baseline,7,1,-0.0115,0.5509,0.4943,0.7755,0.6543186455965042,0.5040617854822249,-0.012580147501710175,0.8816761904761905,0.009145974025974037,0.09995245014630423,0.4740573763847351,0.5849072337150574,0.4565483476132191,0.47896440129449835,0.33310104529616724
periso__baseline__t07__r02,periso,baseline,7,2,-0.0519,0.5628,0.4741,0.7814,0.7317476302385331,0.5519260097117651,-0.0028526747768575613,0.9056285714285716,-0.004844675324675328,0.1751927187627471,0.44386380910873413,0.46688753366470337,0.42473745624270715,0.4245562130177515,0.31180691454664056
periso__baseline__t07__r03,periso,baseline,7,3,0.0214,0.5029,0.5107,0.7515,0.6404231518507004,0.5442325671513876,-0.013178009336644947,0.5529857142857142,-0.002884675324675313,0.572198995759604,0.47264769673347473,0.5795533657073975,0.44155844155844154,0.4791666666666667,0.3550932568149211
periso__cipher-persona__t00__r01,periso,cipher-persona,0,1,-0.4984,0.5907,0.2508,0.7954,0.6678811192512513,0.4621358144850958,-0.015464649688113829,0.6703619047619048,0.014914935064935082,0.2574451221711245,0.5090557932853699,0.5734627842903137,0.45375722543352603,0.4556765163297045,0.34831460674157305
periso__cipher-persona__t00__r02,periso,cipher-persona,0,2,-0.428,0.5287,0.286,0.7644,0.6777620509266853,0.5335933544806072,-0.023934376065607187,0.6290904761904762,0.011507792207792212,0.3895248459643913,0.560268223285675,0.5174883008003235,0.44794520547945205,0.4596651445966514,0.3431867339581831
periso__cipher-persona__t00__r03,periso,cipher-persona,0,3,-0.4577,0.5616,0.2711,0.7808,0.6094193335622549,0.47204381901593434,-0.018069736659526825,0.6459952380952382,0.00853285714285715,0.38034015411795147,0.5720746517181396,0.56910240650177,0.4934876989869754,0.46164978292329956,0.3668596237337192
periso__cipher-persona__t01__r01,periso,cipher-persona,1,1,-0.3325,0.3901,0.3337,0.695,0.6883884161710739,0.4822643640495482,-0.014485937666583376,0.6620714285714285,0.024084285714285714,0.3590440126129347,0.5815485715866089,0.5849238634109497,0.4751131221719457,0.4603448275862069,0.3507642799678198
